Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P14868|SYDC_HUMAN	sp|P14868|SYDC_HUMAN	6	6	6	sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2	1	6	6	6	16	16	16	57.136	501	501	0	82.478	107830	85357	83887	88177	61656	15098	9133.8	99503	67302	75328	116480	61327	66740	75659	15849	99235	79498	86536	88376	64296	21867	13670	96396	66960	77377	114730	63556	67236	72044	16050	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	191810000	7				347	182;1499;2332;3858;4947;7969	True;True;True;True;True;True	186;1551;2415;3985;5115;8290	295;2573;3893;6334;6335;8034;13063	370;3379;5044;8349;8350;10690;17102	370;3379;5044;8350;10690;17102		
sp|P14923|PLAK_HUMAN;sp|P35222|CTNB1_HUMAN	sp|P14923|PLAK_HUMAN	13;1	13;1	13;1	sp|P14923|PLAK_HUMAN Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3	2	13	13	13	18.3	18.3	18.3	81.744	745	745;781	0	95.436	231660	407260	220130	588480	241720	72292	64375	341040	224810	262240	250210	165200	224540	192640	96242	213490	381350	223920	577000	244130	111090	78519	331990	222250	266700	252430	172580	223690	183610	94308	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	418050000	18				348	368;522;1688;3247;3289;3726;4345;4837;4931;5578;6041;7829;8662	True;True;True;True;True;True;True;True;True;True;True;True;True	375;538;1745;3356;3401;3849;4490;5002;5099;5799;6294;8146;9012	558;854;2845;2846;5317;5404;6130;7107;7878;8018;9133;9134;10003;12834;12835;14208	690;1136;3692;3693;3694;6878;7020;7021;8098;9486;10502;10673;12114;12115;13292;16825;16826;18708	690;1136;3693;6878;7021;8098;9486;10502;10673;12115;13292;16826;18708		
sp|P15311|EZRI_HUMAN	sp|P15311|EZRI_HUMAN	1	1	1	sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4	1	1	1	1	2.6	2.6	2.6	69.412	586	586	0.00090744	6.913	15217	15360	13738	19402	12440	8877.4	6897.6	24526	9908.8	12339	17353	10175	15194	11658	8142.4	14018	14391	14013	19323	12830	9962.4	7309	23799	10235	13018	17270	10506	15223	11114	7914	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18191000	1				349	7193	True	7491	11829	15618	15618		
sp|P15559|NQO1_HUMAN	sp|P15559|NQO1_HUMAN	8	8	8	sp|P15559|NQO1_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1	1	8	8	8	27	27	27	30.867	274	274	0	51.49	131530	139670	131250	151440	115110	42625	22460	187060	88080	108190	143900	90929	123050	104920	29284	121260	130290	132580	151660	118080	53246	29446	180730	88509	113040	143190	93836	121700	100010	29631	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	250260000	8				350	503;1455;1456;1680;2214;3698;4722;6928	True;True;True;True;True;True;True;True	519;1502;1503;1737;2295;3821;4882;7207	817;2414;2415;2836;3718;6088;7696;11361	1066;3151;3152;3683;4831;8036;10266;15000	1066;3151;3152;3683;4831;8036;10266;15000		
sp|P15880|RS2_HUMAN	sp|P15880|RS2_HUMAN	11	11	11	sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2	1	11	11	11	40.6	40.6	40.6	31.324	293	293	0	79.839	995440	890610	718890	1036700	798190	230520	166460	1520500	489040	648580	1085000	613940	832560	656390	283000	915760	831390	750890	1032200	805100	314170	210530	1454300	502580	696940	1069800	628950	830790	626410	280290	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	2492400000	27				351	180;277;823;2094;2182;2580;3043;5118;6992;7180;8094	True;True;True;True;True;True;True;True;True;True;True	184;281;846;2173;2261;2672;3146;5293;7273;7478;8420	291;292;427;1313;1314;3544;3661;4284;4285;4988;4989;8349;11476;11814;13267	365;366;518;1721;1722;1723;4643;4644;4772;5546;5547;5548;5549;5550;5551;5552;5553;6423;6424;11128;15149;15600;15601;15602;15603;17369;17370	366;518;1723;4644;4772;5552;6424;11128;15149;15601;17370		
sp|P15884|ITF2_HUMAN	sp|P15884|ITF2_HUMAN	1	1	1	sp|P15884|ITF2_HUMAN Transcription factor 4 OS=Homo sapiens OX=9606 GN=TCF4 PE=1 SV=3	1	1	1	1	2.4	2.4	2.4	71.307	667	667	0.0017513	6.557	12601	7794.3	6429.7	9264.4	6964.2	5740.3	4819.2	10950	5539.2	8107.1	9682.5	6204.8	9577.9	7061	4903.2	11573	7304	7025.6	9294.2	7123.4	6117.5	4970.4	10813	5787.1	8317.3	9671	6419.7	9544.7	6732.1	4772.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10816000	1				352	2990	True	3092	4900	6316	6316		
sp|P15924|DESP_HUMAN	sp|P15924|DESP_HUMAN	51	51	51	sp|P15924|DESP_HUMAN Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3	1	51	51	51	19.6	19.6	19.6	331.77	2871	2871	0	323.31	973440	1306400	804800	1506100	835450	243990	191660	1149400	742100	920490	936360	579650	792350	739080	277120	896230	1218800	828370	1497600	846810	346200	242260	1119600	735880	934700	938830	608320	788130	703490	274060	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	1895000000	56				353	212;235;513;831;1189;1404;1599;1983;2165;2247;2333;2381;2576;2801;3123;3427;3464;3784;3826;4189;4204;4390;4778;4780;4899;4959;5124;5146;5224;5571;5704;5767;5998;6196;6406;6612;6655;7207;7348;7428;7668;7693;7768;7825;8669;8707;8753;8807;8927;8942;9091	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	216;240;529;853;1222;1449;1654;2059;2244;2328;2416;2465;2668;2898;3225;3541;3578;3908;3953;4331;4347;4536;4942;4944;5067;5127;5299;5322;5402;5792;5933;6004;6246;6452;6671;6883;6927;7505;7647;7728;7974;8002;8080;8141;9019;9058;9105;9162;9282;9297;9455	334;371;833;1322;1946;2332;2733;3364;3637;3762;3763;3894;3979;4279;4640;5098;5099;5638;5685;6210;6281;6886;6907;7167;7797;7800;7971;7972;8051;8356;8383;8544;9125;9368;9490;9882;10271;10596;10880;10939;11846;12035;12164;12562;12623;12739;12740;12828;14217;14279;14341;14417;14595;14596;14619;14885	412;456;1083;1734;2543;3050;3565;4401;4748;4877;4878;5045;5159;5541;5991;6545;6546;7401;7457;8195;8281;9187;9221;9560;10412;10415;10620;10621;10710;11138;11168;11386;12106;12456;12610;13126;13669;14064;14420;14491;15639;15859;16007;16498;16572;16714;16715;16819;18717;18790;18869;18964;19185;19186;19210;19575	412;456;1083;1734;2543;3050;3565;4401;4748;4877;5045;5159;5541;5991;6545;7401;7457;8195;8281;9187;9221;9560;10412;10415;10620;10710;11138;11168;11386;12106;12456;12610;13126;13669;14064;14420;14491;15639;15859;16007;16498;16572;16714;16819;18717;18790;18869;18964;19186;19210;19575		
sp|P16402|H13_HUMAN;REV__sp|P16402|H13_HUMAN	sp|P16402|H13_HUMAN	11;1	3;1	3;1	sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2	2	11	3	3	37.6	14.9	14.9	22.35	221	221;221	0	17.861	45503	55715	39968	42968	37597	12040	11546	78683	27322	35213	51934	28941	41154	25024	14912	41910	51728	40863	44230	38453	15748	13454	75307	27913	37420	51417	29535	41057	23978	14722	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	158730000	3				354	436;750;3042;3048;3878;3882;3894;4262;6823;6895;6896	False;False;False;False;True;False;False;True;True;False;False	447;771;3145;3151;4005;4009;4021;4406;7098;7174;7175	655;656;657;1198;1199;4986;4987;4995;6362;6370;6371;6395;6396;6990;11195;11319;11320;11321	822;823;824;1565;1566;6420;6421;6422;6431;8384;8397;8398;8435;8436;8437;8438;9332;14799;14952;14953;14954;14955;14956	823;1565;6421;6431;8384;8397;8437;9332;14799;14953;14956		
sp|P16403|H12_HUMAN	sp|P16403|H12_HUMAN	10	1	1	sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2	1	10	1	1	35.2	7.5	7.5	21.364	213	213	0	11.139	1468	1723.9	1951.5	1355.5	1275.5	155.94	0	2452.1	765.05	1343.8	1421	471.29	1677.6	1382	243.05	1356.6	1599.4	1925.2	1387.7	1339.4	241.09	0	2343.9	770.96	1383.9	1422.8	492.58	1634.4	1304.9	246.66	2	2	2	2	2	1	0	2	2	2	2	1	2	2	1	13012000	4				355	87;436;750;3042;3048;3882;3894;6821;6895;6896	False;False;False;False;False;False;False;True;False;False	88;447;771;3145;3151;4009;4021;7096;7174;7175	129;655;656;657;1198;1199;4986;4987;4995;6370;6371;6395;6396;11190;11191;11192;11193;11319;11320;11321	164;165;822;823;824;1565;1566;6420;6421;6422;6431;8397;8398;8435;8436;8437;8438;14794;14795;14796;14797;14952;14953;14954;14955;14956	164;823;1565;6421;6431;8397;8437;14794;14953;14956		
sp|P16435|NCPR_HUMAN	sp|P16435|NCPR_HUMAN	1	1	1	sp|P16435|NCPR_HUMAN NADPH--cytochrome P450 reductase OS=Homo sapiens OX=9606 GN=POR PE=1 SV=2	1	1	1	1	3.1	3.1	3.1	76.689	677	677	0.0010471	9.1153	7931.1	8183.9	6231.1	6163.9	7207.2	1874.7	1347.4	7687.5	4763.5	6583.7	5604.3	4978.4	4528.6	5802.3	1619.7	7299.8	7597.2	6454.5	6359.4	7244	2304.7	1763.4	7510.8	4714.6	6700.4	5626.2	5158.5	4514.4	5529.9	1600.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13254000	1				356	7852	True	8169	12872	16877	16877		
sp|P16615|AT2A2_HUMAN;sp|O14983|AT2A1_HUMAN;sp|Q93084|AT2A3_HUMAN	sp|P16615|AT2A2_HUMAN	19;9;5	19;9;5	19;9;5	sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1	3	19	19	19	22.6	22.6	22.6	114.76	1042	1042;1001;1043	0	175.45	416500	363990	372650	406100	347220	64218	50390	508310	290390	354180	455320	296730	306580	283210	78911	383650	339360	380180	404800	354130	97042	73410	490590	288710	365190	451050	303560	306600	270830	79446	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	822010000	25				357	416;561;900;1640;1661;2248;2594;3809;3876;3955;5375;5456;5744;7517;8035;8036;8193;8566;8810	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	427;577;929;1696;1717;2329;2686;3934;4003;4087;5563;5655;5977;7818;8360;8361;8521;8914;9165	628;912;1457;2788;2789;2813;3764;4309;6252;6359;6360;6507;8773;8896;9448;12294;12295;13179;13180;13427;13428;14067;14068;14421	775;776;1203;1922;3628;3629;3657;4879;5591;8245;8381;8382;8616;11665;11813;12564;16171;16172;17248;17249;17616;17617;18532;18533;18968	776;1203;1922;3629;3657;4879;5591;8245;8382;8616;11665;11813;12564;16171;17248;17249;17617;18532;18968	136	1
sp|P16989|YBOX3_HUMAN;sp|Q9Y2T7|YBOX2_HUMAN	sp|P16989|YBOX3_HUMAN	3;1	2;0	2;0	sp|P16989|YBOX3_HUMAN Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4	2	3	2	2	14.8	10.2	10.2	40.089	372	372;364	0	12.974	3361.8	4280.5	4000.7	3255.7	3567.5	1591.2	874.8	3224.8	1748.2	4663.6	4544.4	2656.8	2622	4039.8	794.81	3103.6	3978.3	3989.3	3368.8	3656	1748.1	1052.2	3261.8	1823.2	4620.9	4441.8	2829.1	2648	3836.5	792.39	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	57169000	2				358	295;2556;7403	True;True;False	300;2648;7703	449;4249;12129	544;5506;15966	544;5506;15966		
sp|P17066|HSP76_HUMAN;sp|P48741|HSP77_HUMAN	sp|P17066|HSP76_HUMAN;sp|P48741|HSP77_HUMAN	7;4	1;1	1;1	sp|P17066|HSP76_HUMAN Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2;sp|P48741|HSP77_HUMAN Putative heat shock 70 kDa protein 7 OS=Homo sapiens OX=9606 GN=HSPA7 PE=5 SV=2	2	7	1	1	12.4	1.7	1.7	71.027	643	643;367	0	17.458	43485	37210	31374	42482	39014	10401	7279.2	58128	23462	35478	45017	29121	32065	28814	11452	40004	34731	32824	42370	39040	13652	9475.8	56073	23802	36861	44445	29865	32128	27537	11316	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1724500000	2				359	809;3514;3779;4847;7349;8005;8216	False;False;False;False;False;False;True	832;3630;3902;5012;7648;8330;8546	1291;5791;5792;6201;7889;12036;12037;13140;13141;13472;13473	1691;7624;7625;7626;8186;10516;10517;15860;15861;15862;17202;17203;17692;17693	1691;7625;8186;10516;15861;17202;17692		
sp|P17096|HMGA1_HUMAN	sp|P17096|HMGA1_HUMAN	3	3	3	sp|P17096|HMGA1_HUMAN High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3	1	3	3	3	40.2	40.2	40.2	11.676	107	107	0	25.751	126020	96349	103460	173040	73640	106290	61660	233250	66688	92854	455530	83959	105610	67924	79929	116020	91241	106240	169990	78156	113980	62909	226580	77721	100120	436120	85195	117530	65176	77039	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	354110000	5				360	4073;4203;7293	True;True;True	4209;4346;7592	6682;6683;6905;6906;11960	8902;8903;9219;9220;15771	8903;9220;15771		
sp|P17152|TMM11_HUMAN	sp|P17152|TMM11_HUMAN	1	1	1	sp|P17152|TMM11_HUMAN Transmembrane protein 11, mitochondrial OS=Homo sapiens OX=9606 GN=TMEM11 PE=1 SV=1	1	1	1	1	5.7	5.7	5.7	21.541	192	192	0.00089286	6.733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				361	4625	True	4782	7551	10093	10093		
sp|P17480|UBF1_HUMAN	sp|P17480|UBF1_HUMAN	12	12	12	sp|P17480|UBF1_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1	1	12	12	12	17.1	17.1	17.1	89.405	764	764	0	98.226	274340	706090	303720	284720	308630	100330	102740	474250	210210	266030	260840	354480	250360	198920	108450	253110	652050	304960	318190	313740	122800	117260	457470	211350	283170	262710	351570	248870	192720	106220	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	547650000	15				362	2389;2463;2812;4337;6206;6418;6440;6604;7883;7986;8847;8983	True;True;True;True;True;True;True;True;True;True;True;True	2473;2552;2909;4482;6462;6683;6706;6875;8202;8309;9202;9340	3993;3994;4093;4652;7092;7093;10281;10610;10652;10870;12918;13090;14481;14680	5183;5184;5296;6005;9466;9467;13680;14078;14124;14405;14406;16931;17130;19047;19277	5183;5296;6005;9467;13680;14078;14124;14405;16931;17130;19047;19277		
sp|P17812|PYRG1_HUMAN	sp|P17812|PYRG1_HUMAN	2	2	2	sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2	1	2	2	2	2.9	2.9	2.9	66.69	591	591	0	11.557	20141	14098	19896	20309	16216	8104.5	9159.1	24602	14036	17794	27690	14302	15598	12160	9745.4	18565	13238	20113	20054	16876	9310.6	9718.4	24029	14457	18273	27215	14588	16007	11656	9430.7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	15668000	2				363	2470;5116	True;True	2559;5291	4101;8347	5306;11126	5306;11126		
sp|P17844|DDX5_HUMAN	sp|P17844|DDX5_HUMAN	23	22	17	sp|P17844|DDX5_HUMAN Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1	1	23	22	17	36.8	35	30.3	69.147	614	614	0	193.25	1129900	971680	780610	1160700	931830	250490	181880	1541700	550260	723850	1097400	692660	950870	844880	294410	1039200	907420	820170	1153500	935200	340640	233550	1478100	562520	772660	1087600	713830	943000	804610	293000	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	2022900000	34				364	615;1094;1429;1521;2345;2519;2833;3138;3188;3805;4042;4885;5432;6153;6240;6374;6409;7511;7512;7671;7730;8020;8821	True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True	634;1127;1474;1573;2428;2610;2930;3241;3295;3930;4175;5051;5627;6409;6500;6638;6674;7812;7813;7977;8040;8345;9176	991;1805;2369;2606;2607;3913;4194;4683;4684;5128;5129;5226;6246;6622;7945;7946;8855;10192;10333;10334;10541;10600;12287;12288;12566;12684;12685;13158;13159;14438	1298;1299;2375;3097;3417;3418;5066;5419;6042;6043;6582;6583;6752;8236;8791;8792;10586;10587;10588;10589;11760;13547;13745;13746;13997;14068;16164;16165;16503;16504;16641;16642;17227;17228;18995	1299;2375;3097;3418;5066;5419;6042;6583;6752;8236;8792;10587;11760;13547;13745;13997;14068;16164;16165;16504;16642;17227;18995		
sp|P17980|PRS6A_HUMAN	sp|P17980|PRS6A_HUMAN	3	3	3	sp|P17980|PRS6A_HUMAN 26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3	1	3	3	3	9.3	9.3	9.3	49.203	439	439	0	19.957	27755	32118	21166	41308	37970	4423.4	4879.6	46111	15609	23538	35012	24863	28351	21989	6585.8	25542	30003	22153	40764	37211	7774.4	6980.1	44130	16064	25003	34549	25173	28087	21058	6675.9	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	35122000	3				365	1353;4356;5491	True;True;True	1393;4501;5702	2235;7120;8984	2924;9503;11934	2924;9503;11934		
sp|P17987|TCPA_HUMAN	sp|P17987|TCPA_HUMAN	10	10	10	sp|P17987|TCPA_HUMAN T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1	1	10	10	10	23.6	23.6	23.6	60.343	556	556	0	73.972	139430	141500	173150	136670	133790	39530	27625	172710	125020	171210	176860	106810	102160	123020	43436	128770	131770	171890	138030	138760	49217	36255	169430	123740	172000	175260	111530	103770	117280	42595	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	233820000	10				366	4636;4800;5443;5533;5994;7028;7214;7275;7920;9065	True;True;True;True;True;True;True;True;True;True	4793;4965;5640;5753;6242;7312;7513;7574;8239;9429	7567;7829;8873;9060;9876;11545;11855;11935;12980;14844	10111;10445;11783;12031;13118;15243;15649;15745;17013;19531	10111;10445;11783;12031;13118;15243;15649;15745;17013;19531		
sp|P18077|RL35A_HUMAN	sp|P18077|RL35A_HUMAN	8	8	8	sp|P18077|RL35A_HUMAN 60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2	1	8	8	8	48.2	48.2	48.2	12.538	110	110	0	51.731	347200	342960	240550	356590	349080	75131	62891	555720	153970	242080	372030	195710	294990	280980	117030	319350	319540	253410	357680	346150	101010	80937	531190	160040	258620	366630	204790	294730	267000	115060	14	14	14	14	14	12	13	14	14	14	14	14	14	14	14	2202300000	14				367	363;379;380;1049;1741;3407;3408;5764	True;True;True;True;True;True;True;True	369;370;388;389;1080;1799;3521;3522;6001	551;552;577;578;579;1692;1693;2913;5611;5612;9485;9486	683;684;714;715;716;717;2211;2212;3776;3777;7369;7370;12605;12606	684;715;717;2211;3776;7369;7370;12606	137	83
sp|P18085|ARF4_HUMAN	sp|P18085|ARF4_HUMAN	3	2	2	sp|P18085|ARF4_HUMAN ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3	1	3	2	2	17.2	11.1	11.1	20.511	180	180	0	16.108	115560	95843	106790	114780	63024	15954	11557	157690	85180	102130	133540	89619	92172	63704	23156	106460	89449	108190	113860	67343	25754	16495	151690	84508	105770	132350	90575	92043	61315	23350	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	242340000	4				368	1015;3592;3693	True;False;True	1046;3709;3816	1624;1625;5910;5911;6081;6082	2124;2125;7783;7784;7785;7786;7787;8028;8029	2124;7787;8029		
sp|P18124|RL7_HUMAN	sp|P18124|RL7_HUMAN	16	16	16	sp|P18124|RL7_HUMAN 60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1	1	16	16	16	48.4	48.4	48.4	29.225	248	248	0	112.89	1025800	1009500	756800	1132400	903150	250550	170650	1501700	531520	793630	1091100	661830	863840	701380	310050	943820	941750	789410	1130000	906100	338130	221140	1443300	543090	833720	1078400	680530	861670	669470	306250	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	3624200000	47				369	325;761;1520;2209;2210;2371;3342;3812;3880;4048;5368;6114;6511;6577;7419;7989	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	330;782;1572;2290;2291;2455;3455;3937;4007;4181;5554;5555;6370;6781;6847;7719;8314	491;492;1211;2604;2605;3709;3710;3711;3712;3961;3962;5494;5495;6256;6257;6258;6367;6368;6628;8748;8749;8750;8751;8752;8753;8754;10136;10760;10835;12150;12151;13114;13115	606;607;1579;1580;3414;3415;3416;4820;4821;4822;4823;4824;4825;5132;5133;7182;7183;7184;8249;8250;8251;8252;8392;8393;8394;8395;8800;11631;11632;11633;11634;11635;11636;11637;11638;11639;11640;11641;13475;14272;14364;15991;15992;15993;15994;17169;17170	607;1580;3415;4821;4825;5132;7184;8249;8395;8800;11635;13475;14272;14364;15993;17170	138	1
sp|P18206|VINC_HUMAN	sp|P18206|VINC_HUMAN	1	1	1	sp|P18206|VINC_HUMAN Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4	1	1	1	1	0.6	0.6	0.6	123.8	1134	1134	0.0081367	5.991	31484	28595	29879	30607	26109	23661	22114	30801	28194	29615	30084	26619	28387	28040	25535	29013	26773	30348	31016	27178	24391	22560	31066	28588	30181	30507	27271	28848	26766	24490	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	87723000	1				370	728	True	750	1172	1537	1537		
sp|P18621|RL17_HUMAN	sp|P18621|RL17_HUMAN	9	9	9	sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3	1	9	9	9	44	44	44	21.397	184	184	0	111.44	714660	685470	492550	774210	550140	147960	107180	1094600	331490	506240	696700	431210	568910	452850	187560	657290	639400	517180	771800	554600	207720	137980	1047500	339530	537800	688710	442960	566010	432320	186050	18	18	18	18	18	15	18	18	18	18	18	18	18	18	18	2412600000	18				371	2048;2049;2831;2832;4222;5543;6417;9013;9088	True;True;True;True;True;True;True;True;True	2125;2126;2928;2929;4365;5763;6682;9370;9452	3465;3466;3467;3468;4679;4680;4681;4682;6932;6933;6934;9083;9084;10609;14726;14880;14881	4530;4531;4532;4533;4534;6038;6039;6040;6041;9257;9258;9259;12062;12063;14077;19333;19570;19571	4530;4533;6038;6040;9258;12063;14077;19333;19571		
sp|P18754|RCC1_HUMAN	sp|P18754|RCC1_HUMAN	1	1	1	sp|P18754|RCC1_HUMAN Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1	1	1	1	1	2.4	2.4	2.4	44.969	421	421	0.00090827	6.9241	12745	10321	10706	15488	11848	2195.2	1242.7	15994	8415	9756.3	13714	10393	11729	11396	2777.4	11735	9673.4	11008	15169	11920	3371.1	2021.9	15401	8407.6	10258	13646	10615	11599	10870	2811.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9680400	1				372	4612	True	4769	7535	10071	10071		
sp|P18827|SDC1_HUMAN	sp|P18827|SDC1_HUMAN	1	1	1	sp|P18827|SDC1_HUMAN Syndecan-1 OS=Homo sapiens OX=9606 GN=SDC1 PE=1 SV=3	1	1	1	1	5.5	5.5	5.5	32.461	310	310	0.0082237	6.0314	19324	15929	20053	20610	17342	3156.5	3585.9	22120	13391	16162	24488	11820	16690	15154	5140	17819	14888	20191	20352	17812	4730.4	4627.7	21398	13500	16572	24176	12328	16719	14422	5118.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33220000	1				373	1674	True	1731	2829	3675	3675		
